video_id,class,variant,selector_seed,score_maps,score_sha256,frames,block_grid,input_video
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,trajectory,0,extended_evidence_suite_20260906/E1_trajectory_scores/seed_0/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_trajectory.npy,5bd8b0761b2121b7ccaf603538733e3560862dc49aabfd938fd176e825623d86,125,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,trajectory,1,extended_evidence_suite_20260906/E1_trajectory_scores/seed_1/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_trajectory.npy,0497819432df1b7c9cd5a4adfd0e2e541daafdf55aa3ed56915cebb2dd06db88,125,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,trajectory,2,extended_evidence_suite_20260906/E1_trajectory_scores/seed_2/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_trajectory.npy,94d4a0f69a5fc8b6b246a7391f5a9c03ce2ff7638496195d46161a530c2b1495,125,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,trajectory,3,extended_evidence_suite_20260906/E1_trajectory_scores/seed_3/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_trajectory.npy,5aee4d4716b53ad80fc93b82a8d4a2a52f92f2d4d66cc26644742bce11df37c3,125,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,trajectory,4,extended_evidence_suite_20260906/E1_trajectory_scores/seed_4/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_trajectory.npy,066f1d8a68004f2a3dd89b9e95768dded5314c2773f4b4224da6ff8a67ccc289,125,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,trajectory,5,extended_evidence_suite_20260906/E1_trajectory_scores/seed_5/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_trajectory.npy,4107efce1b136cf8153c3b932e3b2e7b6efddf64fffdfabaa7b4dd178aad5181,125,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,trajectory,6,extended_evidence_suite_20260906/E1_trajectory_scores/seed_6/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_trajectory.npy,d8a77dd6a763d96543db5fb9eb1c4c650d2e90226490910d625d391b977f7d9d,125,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,trajectory,7,extended_evidence_suite_20260906/E1_trajectory_scores/seed_7/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_trajectory.npy,96f4963e5e990f3b0cec7c623ec389ea7f1c0450e61dbe7fbd7dda2e9635d0e3,125,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,trajectory,8,extended_evidence_suite_20260906/E1_trajectory_scores/seed_8/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_trajectory.npy,3e2037b055d1bb3204b5962a80e7f1c21ea9a54086e19c27e38f8d1b08509534,125,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,trajectory,42,extended_evidence_suite_20260906/E1_trajectory_scores/seed_42/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_trajectory.npy,273976a8733cbb9825bf58349c17fbc56d4558a0b9208cb79b093f94dd9b64c0,125,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,trajectory,0,extended_evidence_suite_20260906/E1_trajectory_scores/seed_0/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_trajectory.npy,6412216033d0ea2f8bfb1b34b2594584513cbe126264f528a7c72643567942b3,82,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,trajectory,1,extended_evidence_suite_20260906/E1_trajectory_scores/seed_1/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_trajectory.npy,af0014b79d3b65da234fbfbe5fc453a01ce7e6f94a4807821be9730fdf424149,82,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,trajectory,2,extended_evidence_suite_20260906/E1_trajectory_scores/seed_2/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_trajectory.npy,900fbbcbbc35dc4220535b9e06689388575c19c678270ea6bccb318d41df5606,82,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,trajectory,3,extended_evidence_suite_20260906/E1_trajectory_scores/seed_3/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_trajectory.npy,c8547d98a1fc740c7bb74dc6fdb6e16fc489f25529bf4b169db11b88e518e7d9,82,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,trajectory,4,extended_evidence_suite_20260906/E1_trajectory_scores/seed_4/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_trajectory.npy,31ec5109739925e706dc4957bb68b1197794dbd07a038fb9dd05c7fc87b4ab23,82,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,trajectory,5,extended_evidence_suite_20260906/E1_trajectory_scores/seed_5/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_trajectory.npy,904c5af7438c56d79fed556cc63ea6c43f2bf4cc6ee6977fbc459e61e7a8a36a,82,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,trajectory,6,extended_evidence_suite_20260906/E1_trajectory_scores/seed_6/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_trajectory.npy,717bdca3bcf9b201f6cfed24f6987e3be64d1c10f1e8eaa6011ad897dd08f62c,82,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,trajectory,7,extended_evidence_suite_20260906/E1_trajectory_scores/seed_7/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_trajectory.npy,0af012461546dd7dffa11daefe579d69230f51f663617f226453cbd71f0bebf7,82,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,trajectory,8,extended_evidence_suite_20260906/E1_trajectory_scores/seed_8/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_trajectory.npy,4eeeb2fb75cf5c80d9dcb83659bc1c5fddfde39d36e0d916d5f4bad5dea5e730,82,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,trajectory,42,extended_evidence_suite_20260906/E1_trajectory_scores/seed_42/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_trajectory.npy,ccc776ee562632f0f1f857838012229c89b26c798859050fde257ca6bb60588d,82,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi
BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,trajectory,0,extended_evidence_suite_20260906/E1_trajectory_scores/seed_0/BalanceBeam_v_BalanceBeam_g03_c01/score_maps_trajectory.npy,24afaf444173b9f420976b91ca011658560993e58bb6f63ebec3b90f6c0aa527,197,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g03_c01.avi
BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,trajectory,1,extended_evidence_suite_20260906/E1_trajectory_scores/seed_1/BalanceBeam_v_BalanceBeam_g03_c01/score_maps_trajectory.npy,89078f59a2f73d8983276e7f07f5afa91c4cdd51c394393d3e3be35750f888f7,197,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g03_c01.avi
BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,trajectory,2,extended_evidence_suite_20260906/E1_trajectory_scores/seed_2/BalanceBeam_v_BalanceBeam_g03_c01/score_maps_trajectory.npy,9efeec9adca9f22e7258ddcca4c0529a20a6376a843b520ce8fe3cc9cc9709cc,197,14,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g03_c01.avi
